City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Asfi,MA,2021-08-05 2:19,32.2994,-9.2372,293.17,93,15,5.08
95,Palmer,US,2021-08-05 2:24,42.1584,-72.3287,293.11,80,90,0
96,Olga,RU,2021-08-05 2:24,43.7444,135.2892,302.95,57,99,2.16
97,Barcelos,PT,2021-08-05 2:24,41.5388,-8.6151,291.4,95,3,0.89
98,Ribeira Grande,PT,2021-08-05 2:24,38.5167,-28.7,295.67,89,0,2.65
99,Plettenberg Bay,ZA,2021-08-05 2:24,-34.0527,23.3716,287.49,93,65,1.54
100,Fortuna,US,2021-08-05 2:24,40.5982,-124.1573,290.29,90,90,5.14
101,Puerto Ayora,EC,2021-08-05 2:24,-0.7393,-90.3518,295.12,83,47,2.68
102,Kupang,ID,2021-08-05 2:24,-10.1667,123.5833,304.47,51,20,9.77
103,Deputatskiy,RU,2021-08-05 2:24,69.3,139.9,281.89,60,95,7.09
104,Kodiak,US,2021-08-05 2:24,57.79,-152.4072,289.88,72,90,1.54
105,Tiksi,RU,2021-08-05 2:24,71.6872,128.8694,280.6,75,4,4.53
106,Nioro,GM,2021-08-05 2:24,13.35,-15.75,297.87,93,100,2.23
107,Obzor,BG,2021-08-05 2:24,42.8167,27.8833,298.27,88,0,1.61
108,Vilyuysk,RU,2021-08-05 2:24,63.7553,121.6247,299.25,33,0,1.84
109,Port Elizabeth,ZA,2021-08-05 2:24,-33.918,25.5701,289.32,94,40,1.03
110,Baturyn,UA,2021-08-05 2:24,51.3457,32.8779,290.74,61,100,2.36
111,Susanville,US,2021-08-05 2:24,40.4163,-120.653,305.06,15,1,4.02
112,Avarua,CK,2021-08-05 2:24,-21.2078,-159.775,297.18,78,75,3.09
113,Mogotes,CO,2021-08-05 2:24,6.4756,-72.9705,288.16,88,99,2.05
114,Hoopstad,ZA,2021-08-05 2:24,-27.8327,25.9083,281.74,43,0,3.24
115,Dunda,TZ,2021-08-05 2:24,-8.1167,34.25,287.45,86,6,1.07
116,La Ronge,CA,2021-08-05 2:24,55.1001,-105.2842,291.29,72,75,1.03
117,Alofi,NU,2021-08-05 2:24,-19.0595,-169.9187,296.09,83,75,3.6
118,Abdulino,RU,2021-08-05 2:24,53.7,53.6667,293.95,72,100,2.56
119,Sri Aman,MY,2021-08-05 2:24,1.2376,111.4621,300.18,83,20,1.54
120,Hilo,US,2021-08-05 2:24,19.7297,-155.09,300,75,40,2.57
121,Curvelo,BR,2021-08-05 2:24,-18.7564,-44.4308,290.09,63,100,2.08
122,Leningradskiy,RU,2021-08-05 2:20,69.3833,178.4167,279.69,85,100,1.87
123,Thompson,CA,2021-08-05 2:24,55.7435,-97.8558,285.24,62,75,2.06
124,Dikson,RU,2021-08-05 2:24,73.5069,80.5464,280.71,90,22,1.29
125,Ancud,CL,2021-08-05 2:24,-41.8697,-73.8203,283.28,88,100,6.39
